Thématique,N°Asso.,Nom association,Nature subv.,Titre du projet,"N°
DCM","DCM
Date", Accordé ,"Conv°
Lettre engagement",SIRET, Nature , Modalités de paiement 
CULTURE,4311,TOUT A FOND TAF CA4311!,Fonctionnement,,V2019-123,27/03/2019,"4,000 €",En attente réception,41856828300034,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4388,LE PASSE MURAILLE CA4388!,Projet,AU FIL DE L'HERAULT-AOUT 2019,V2019-108,27/03/2019,500 €,En attente réception,42121708400019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4388,LE PASSE MURAILLE CA4388!,Projet,JARDINS PARTAGES AU COEUR DE LA PAILLADE,V2019-108,27/03/2019,"1,000 €",En attente réception,42121708400019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SECURITE / ANIMAL DANS LA VILLE,4401,L'ECOLE DU CHAT DE MONTPELLIER CA4401!,Fonctionnement,,V2019-082,27/03/2019,"2,000 €",En attente réception,48297241100011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SECURITE / ANIMAL DANS LA VILLE,4431,LIGUE POUR LA  PROTECTION DES OISEAUX LPO 34 CA4431!,Fonctionnement,,V2019-082,27/03/2019,"2,000 €",En attente réception,49258320800037,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,4472,LA VISTA THEATRE DE LA MEDITERRANEE CA4472!,Projet,PASS VISTA,V2019-123,27/03/2019,"15,000 €",En attente réception,43507036200015,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,4472,LA VISTA THEATRE DE LA MEDITERRANEE CA4472!,Fonctionnement,.,V2019-123,27/03/2019,"50,000 €",En attente réception,43507036200015,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CONTRAT DE VILLE EDUCATION,4472,LA VISTA THEATRE DE LA MEDITERRANEE CA4472!,Projet,ACTIONS CULTURELLES EN QPV,V2019-108,27/03/2019,500 €,En attente réception,43507036200015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE SPORTS,4555,ROLL' SCHOOL CA4555!,Projet,TOUS AU FREESTYLE,V2019-108,27/03/2019,500 €,En attente réception,74993599500011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE SPORTS,4556,MONTPELLIER EAUX VIVES CANOE-KAYAK MEVCK CA4556!,Projet,L'AVENTURE CITOYENNE EN KAYAK,V2019-108,27/03/2019,500 €,En attente réception,43275729200045,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4556,MONTPELLIER EAUX VIVES CANOE-KAYAK MEVCK CA4556!,Projet,L'AVEBTURE CITOYENNE EN KAYAK,V2019-108,27/03/2019,500 €,En attente réception,43275729200045,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4773,"DEFI - DEVELOPPEMENT, FORMATION, INSERTION CA4773!",Projet,AIMS,V2019-108,27/03/2019,"4,500 €",En attente réception,40364431300047,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4773,"DEFI - DEVELOPPEMENT, FORMATION, INSERTION CA4773!",Projet,ATELIERS SOCIO-LINGUISTIQUES ADULTES,V2019-108,27/03/2019,"5,000 €",En attente réception,40364431300047,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / LUTTE CONTRE LES DISCRIMINATIONS,4786,FIERTE MONTPELLIER PRIDE CA4786!,Fonctionnement,,V2019-109,27/03/2019,"6,500 €",En attente réception,42170764700044,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SOCIAL / LUTTE CONTRE LES DISCRIMINATIONS,4786,FIERTE MONTPELLIER PRIDE CA4786!,Projet,26 E EDITION PRIDE DE MONTPELLIER,V2019-109,27/03/2019,"5,000 €",En attente réception,42170764700044,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / LUTTE CONTRE LES DISCRIMINATIONS,4786,FIERTE MONTPELLIER PRIDE CA4786!,Projet,FESTIV'ALL,V2019-109,27/03/2019,"5,000 €",En attente réception,42170764700044,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4807,ASSOCIATION TIN HINAN CA4807!,Projet,LEVER LES FREINS A LA CITOYENNETE,V2019-108,27/03/2019,"4,500 €",En attente réception,43323115600020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4807,ASSOCIATION TIN HINAN CA4807!,Projet,RENFORCER L'ACCES AUX DROITS,V2019-108,27/03/2019,"2,500 €",En attente réception,43323115600020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4807,ASSOCIATION TIN HINAN CA4807!,Projet,VERS UNE INTEGRATION SOCIOLINGUISTIQUE REUSSIE,V2019-108,27/03/2019,"5,000 €",En attente réception,43323115600020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE JEUNESSE,4841,VIVRE ENSEMBLE EN CITOYENS QUARTIER DES CEVENNES AVEC CA4841!,Projet,VIVRE ENSEMBLE EN CITOYENS,V2019-108,27/03/2019,500 €,En attente réception,42336783800020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4841,VIVRE ENSEMBLE EN CITOYENS QUARTIER DES CEVENNES AVEC CA4841!,Projet,AIDE EDUCATIVE AUPRES DES PARENTS,V2019-108,27/03/2019,"4,000 €",En attente réception,42336783800020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4841,VIVRE ENSEMBLE EN CITOYENS QUARTIER DES CEVENNES AVEC CA4841!,Projet,AIDES AUX DEMARCHES ADMINISTRATIVES,V2019-108,27/03/2019,"1,500 €",En attente réception,42336783800020,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,4897,ENERGIE PAILLADE CA4897!,Fonctionnement,,V2019-098,27/03/2019,"1,000 €",En attente réception,49856787400017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4900,ASSOCIATION NATIONALE COMPAGNONS BATISSEURS ETS LR CA4900!,Projet,ATELIER DE QUARTIER,V2019-108,27/03/2019,"4,000 €",En attente réception,77566663900080,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4900,ASSOCIATION NATIONALE COMPAGNONS BATISSEURS ETS LR CA4900!,Projet,ESPACE RESSOURCE HABITAT MOSSON,V2019-108,27/03/2019,"4,500 €",En attente réception,77566663900080,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / LUTTE CONTRE LES DISCRIMINATIONS,4904,HABITER ENFIN CA4904!,Projet,OBJECTIF : LOGEMENTS DÉCENTS : ACCOMPAGNEMENT DES FAMILLES,V2019-109,27/03/2019,"1,000 €",En attente réception,42504612500034,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,4977,RANK'ART CA4977!,Projet,FAMILIALE DES CEVENNES,V2019-108,27/03/2019,"1,000 €",En attente réception,42166437600041,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5233,CONSEIL DEPARTEMENTAL DE L'ACCES AU DROIT CDAD CA5233!,Projet,ACCES AU DROIT A LA MAISON DE JUSTICE,V2019-108,27/03/2019,"4,000 €",En attente réception,13000163900017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5249,SERVICE D'ORIENTATION ET DE MEDIATION POUR L'INSERTION SOCIALE - SOMIS CA5249!,Projet,MEDIATION ADMINISTRATIVE ET SOCIALE,V2019-108,27/03/2019,"5,200 €",En attente réception,40312059500026,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,5358,ASSOCIATION DES CAFES GEOGRAPHIQUES DE MONTPELLIER CA5358!,Fonctionnement,,V2019-123,27/03/2019,500 €,En attente réception,78868765500019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,5385,ZADIGOZINC CA5385!,Projet,CAFE DES ENFANTS,V2019-108,27/03/2019,"1,100 €",En attente réception,52325595800010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,5454,COLLEGE RIMBAUD CA5454!,Projet,ASSOCIARE LES PARENTS AUX ACTIONS D'EDUCATION ET DE SCOLARISATION DE LEURS ENFANTS,V2019-108,27/03/2019,300 €,En attente réception,91284377000013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,5454,COLLEGE RIMBAUD CA5454!,Projet,FAVORISER LA REUSSITE DES PARCOURS SCOLAIRES,V2019-108,27/03/2019,500 €,En attente réception,91284377000013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5480,ASSOCIATION POUR TOUTES CA5480!,Projet,DE L'ART A LA CULTURE,V2019-108,27/03/2019,500 €,En attente réception,75197305800017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,5633,FOYER SOCIO EDUCATIF DU COLLEGE MARCEL PAGNOL MONTPELLIER CA5633!,Projet,AGIR SUR LES REPRESENTATIONS AUTOUR DE L'ECOLE,V2019-108,27/03/2019,500 €,En attente réception,75322043300019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,5633,FOYER SOCIO EDUCATIF DU COLLEGE MARCEL PAGNOL MONTPELLIER CA5633!,Projet,AMELIORER LA RELATION ECOLE-FAMILLE POUR FAVORISER LA REUSSITE A L'ECOLE,V2019-108,27/03/2019,500 €,En attente réception,75322043300019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,5633,FOYER SOCIO EDUCATIF DU COLLEGE MARCEL PAGNOL MONTPELLIER CA5633!,Projet,RENFORCER LA COOPERATION ECOLE-FAMILLE,V2019-108,27/03/2019,400 €,En attente réception,75322043300019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,5676,"ASSOCIATION L'INSTANT PRESENT, L'ART DU MOUVEMENT, DU VIVANT, DU VRAI, THEATRE DE L 'EVIDENCE CA5676!",Fonctionnement,,V2019-123,27/03/2019,500 €,En attente réception,52198929300019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5678,ACTEURS CA5678!,Projet,ATELIERS ACTEURS-MLDS MONNET,V2019-108,27/03/2019,"1,500 €",En attente réception,40908997600016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE JEUNESSE,5722,PRATIQUES EDUCATIVES ET PLAISIRS SPORTIFS PEPS CA5722!,Projet,CLUB JEUNE,V2019-108,27/03/2019,500 €,En attente réception,52761078600032,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5722,PRATIQUES EDUCATIVES ET PLAISIRS SPORTIFS PEPS CA5722!,Projet,CLUB JEUNE,V2019-108,27/03/2019,500 €,En attente réception,52761078600032,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / LUTTE CONTRE LES DISCRIMINATIONS,5751,CONTACT HERAULT CA5751!,Fonctionnement,,V2019-109,27/03/2019,500 €,En attente réception,79022922300025,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / LUTTE CONTRE LES DISCRIMINATIONS,5751,CONTACT HERAULT CA5751!,Projet,JOURNÉE MONDIAL DU COMING OUT,V2019-109,27/03/2019,500 €,En attente réception,79022922300025,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE SPORTS,5792,MONTPELLIER JUDO OLYMPIC CA5792!,Projet,ATELIRS DE DECOUVERTE JUDO FILLES,V2019-108,27/03/2019,500 €,En attente réception,79394120400018,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,5847,MOT'SON CA5847!,Fonctionnement,,V2019-123,27/03/2019,"1,000 €",En attente réception,53484052500016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5847,MOT'SON CA5847!,Projet,CREATIVE MOT'SON,V2019-108,27/03/2019,"2,500 €",En attente réception,53484052500016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,5854,MONTPELLIER MOSSON OMNISPORTS CA5854!,Projet,PASSERELLE POUR LE SPORT,V2019-108,27/03/2019,"1,000 €",En attente réception,79536194800016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / COHESION SOCIALE,5895,ACCORDERIE EDE MONTPELLIER CA5895!,Fonctionnement,,V2019-109,27/03/2019,"1,900 €",En attente réception,79854938200017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE SPORTS,5943,ASSOCIATION NOUVELLE POUR LA SOLIDARITE AU FEMININ ANSA CA5943!,Projet,ATELIERS SPORTIFS POUR TOUS,V2019-108,27/03/2019,500 €,En attente réception,79758753200012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE SPORTS,5943,ASSOCIATION NOUVELLE POUR LA SOLIDARITE AU FEMININ ANSA CA5943!,Projet,ELLES'BOUGENT,V2019-108,27/03/2019,500 €,En attente réception,79758753200012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,6022,METISS'ART CA6022!,Projet,CARNAVAL ENFANTS CELLENEUVE,V2019-108,27/03/2019,500 €,En attente réception,41501673200059,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,6183,CHANT DESSUS DESSOUS CA6183!,Projet,PETITE ENFANCE TE LANGAGE,V2019-108,27/03/2019,500 €,En attente réception,80521818700021,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SECURITE / ANIMAL DANS LA VILLE,6190,LES PATTOUNES DU COEUR CA6190!,Fonctionnement,,V2019-082,27/03/2019,"2,000 €",En attente réception,79174395800013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE JEUNESSE,6204,LES 4 CHEMINS CA6204!,Projet,LEE CYBERCITOYEN,V2019-108,27/03/2019,500 €,En attente réception,75060284900010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,6204,LES 4 CHEMINS CA6204!,Projet,LE JARDIN CITOYEN D'OXFORD,V2019-108,27/03/2019,500 €,En attente réception,75060284900010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,6250,MONTPELLIER ACCORDEON CA6250!,Projet,MUSIQUES DU BRESIL A LEO MALET,V2019-108,27/03/2019,500 €,En attente réception,49789479000029,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE SPORTS,6370,BIEN VIVRE A AIGUELONGUE CA6370!,Projet,SPORT ET ART,V2019-108,27/03/2019,500 €,En attente réception,81199777400013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE EDUCATION,6370,BIEN VIVRE A AIGUELONGUE CA6370!,Projet,PARTAGE A AIGUELONGUE 3,V2019-108,27/03/2019,500 €,En attente réception,81199777400013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,6459,ARSENAL CROIX D'ARGENT FOOTBALL CLUB CA6459!,Fonctionnement,,V2019-098,27/03/2019,500 €,En attente réception,81396291700015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ECOLOGIE URBAINE,6470,RESEAU DES SEMEURS DE JARDINS CA6470!,Projet,LA CULTURE DU FRUITIER SUR L'ESPACE URBAIN,V2019-115,27/03/2019,500 €,En attente réception,81374300200012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,6519,MONTPELLIER PETIT BARD ATHLETISME CA6519!,Projet,INSERTION SOCIALE PAR LE SPORT AU QUARTIER PETIT BARD PERGOLA,V2019-108,27/03/2019,"1,000 €",En attente réception,81080036700015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,6679,ASSEMBLEE REGIONALE DES RADIOS ASSOCIATIVES CA6679!,Fonctionnement,,V2019-123,27/03/2019,"3,750 €",En attente réception,82237801400010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,7091,COLLECTIF DES RADIOS LIBRES D'OCCITANIE CA7091!,Fonctionnement,,V2019-123,27/03/2019,"2,250 €",En attente réception,84165197900012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SECURITE / ANIMAL DANS LA VILLE,7101,GOUPIL CONNEXION CA7101!,Fonctionnement,,V2019-082,27/03/2019,800 €,En attente réception,49797573000019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SECURITE / ANIMAL DANS LA VILLE,7101,GOUPIL CONNEXION CA7101!,Projet,FESTIVAL DES MARTINETS,V2019-082,27/03/2019,"1,500 €",En attente réception,49797573000019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,7159,CEDELADANSE CA7159!,Projet,PREMIER CONCOURS INTERNATIONAL 2 DANSES MONTPELLIER OCCITANIE,V2019-123,27/03/2019,500 €,En attente réception,83784776300013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,7162,REBONDS CA7162!,Projet,PROJET INSERTION RUGBY,V2019-108,27/03/2019,"1,500 €",En attente réception,47846371400046,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / JEUNESSE VIE ETUDIANTE,7200,HOGAR SAN JOSE CA7200!,Projet,BÉNÉVOLAT EN BOLIVIE - SAN JOSÉ,V2019-102,27/03/2019,"1,500 €",En attente réception,84272196100014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CONTRAT DE VILLE COHESION SOCIALE,7240,FEMMES ACTIVES MOSSON CA7240!,Projet,SORTIES FAMILIALES,V2019-108,27/03/2019,500 €,En attente réception,83902240700010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,,COMITE D'ORGANISATION DU CHAMPIONNAT D'EUROPE DE VOLLEYBALL,Projet,,V2019-094,27/03/2019,"125,000 €",En attente réception,,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CONTRAT DE VILLE COHESION SOCIALE,,UNION REGIONALE DES CENTRES D'INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES DU LANGUEDOC ROUSSILLON UR CIDFF,Projet,AGIR POUR L'INTEGRATION DES FEMMES IMMIGREES,V2019-108,27/03/2019,"2,500 €",En attente réception,38431607100040,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / SOLIDARITE,25,LES PETITS DEBROUILLARDS OCCITANIE CA25!,Projet,LES ATELIERS PRATIQUES DU NUMÉRIQUE,V2019-199,12/06/2019,"8,000 €",En attente réception,41177507500046,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SOCIAL / DROIT DES FEMMES,55,UNION FEMININE CIVIQUE ET SOCIALE CA55!,Fonctionnement,,V2019-181,12/06/2019,"1,400 €",En attente réception,50982345600017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,317,COMITE DE QUARTIER TASTAVIN-LEMASSON-MAS DREVON-MARQUEROSE CA317!,Fonctionnement,,V2019-181,12/06/2019, 500 € ,En attente réception,75295865200014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,317,COMITE DE QUARTIER TASTAVIN-LEMASSON-MAS DREVON-MARQUEROSE CA317!,Projet,LES BODÉGUAS,V2019-181,12/06/2019, 700 € ,En attente réception,75295865200014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,368,AMICALE DES CORSES DE MONTPELLIER CA368!,Projet,CONCERT GROUPE CORSES,V2019-219,12/06/2019,"2,000 €",En attente réception,79024831400011,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,388,ASSOCIATION SPORTIVE ET CULTURELLE CROIX D'ARGENT MONTPELLIER CA388!,Fonctionnement,,V2019-181,12/06/2019, 500 € ,En attente réception,48049787400010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
COMMEMORATIONS,400,AMITIES RUSSES ET AVEC LES PEUPLES DE L'EX URSS CA400!,Projet,BATAILLON IMMORTEL,V2019-196,12/06/2019,200 €,En attente réception,52000277500010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
COMMEMORATIONS,512,AMICALE DES TRANSMETTEURS DU LANGUEDOC-ROUSSILLON CA512!,Fonctionnement,,V2019-181,12/06/2019,200 €,En attente réception,79117494900010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
COMMEMORATIONS,528,ASSOCIATION DES DEPORTES INTERNES ET FAMILLES DE DISPARUS - HLT CA528!,Fonctionnement,,V2019-196,12/06/2019,200 €,En attente réception,78860243100017,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
COMMEMORATIONS,540,FEDERATION NATIONALE ANCIENS COMBATTANTS ALGERIE-MAROC-TUNISIE FNACA CA540!,Fonctionnement,,V2019-196,12/06/2019,"1,000 €",En attente réception,38960476000014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / HANDICAP,703,ASSOCIATION DES DONNEURS DE VOIX CA703!,Fonctionnement,,V2019-199,12/06/2019,"1,800 €",En attente réception,33241611401267,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,980,ASSOCIATION DU FESTIVAL RADIO FRANCE OCCITANIE MONTPELLIER CA980!,Fonctionnement,,V2019-219,12/06/2019,"60,000 €",En attente réception,33174630500043,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
VIE ASSOCIATIVE,1029,CENTRE 665 CA1029!,Fonctionnement,,V2019-181,12/06/2019," 10,000 € ",En attente réception,77603649300018,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SOCIAL / SOLIDARITE,1150,CIMADE - SERVICE OECUMENIQUE D'ENTRAIDE CA1150!,Fonctionnement,,V2019-199,12/06/2019,"3,000 €",En attente réception,53832967300015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,1233,MALBOSC BOUGE COMITE DE QUARTIER CA1233!,Fonctionnement,,V2019-181,12/06/2019, 500 € ,En attente réception,75293496800013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,1233,MALBOSC BOUGE COMITE DE QUARTIER CA1233!,Projet,DEHORS C'E'ST AUSSI CHEZ NOUS,V2019-181,12/06/2019, 250 € ,En attente réception,75293496800013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,1233,MALBOSC BOUGE COMITE DE QUARTIER CA1233!,Projet,CHASSE AUX OEUFS,V2019-181,12/06/2019, 200 € ,En attente réception,75293496800013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,1233,MALBOSC BOUGE COMITE DE QUARTIER CA1233!,Projet,ATELIER D'ÉCRITURE ET CAFÉ LITTERAIRE,V2019-181,12/06/2019, 100 € ,En attente réception,75293496800013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,1233,MALBOSC BOUGE COMITE DE QUARTIER CA1233!,Projet,SOUTIEN SCOLAIRE,V2019-181,12/06/2019, 100 € ,En attente réception,75293496800013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
COMMEMORATIONS,1313,ASSOCIATION NATIONALE DES MEMBRES DE L'ORDRE NATIONAL DU MERITE CA1313!,Projet,PRIX DU CIVISME ET ÉDUCATION CITOYENNE,V2019-181,12/06/2019,200 €,En attente réception,80072302000023,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,1469,LES FRANCAS DE L'HERAULT CA1469!,Fonctionnement,,V2019-181,12/06/2019,"2,200 €",En attente réception,51105832300045,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / SOLIDARITE,1755,CENTRE APAJ (CENTRE D'ACCOMPAGNEMENT DE PARCOURS ADULTES ET JEUNES) CA1755!,Projet,ESPACE PUBLIC NUMÉRIQUE,V2019-199,12/06/2019,"2,800 €",En attente réception,77605728300033,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,1763,SOS RETINITE FRANCE CA1763!,Fonctionnement,,V2019-181,12/06/2019,"1,300 €",En attente réception,38406665000019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
COMMEMORATIONS,1878,SOCIETE DES MEMBRES DE LA LEGION D'HONNEUR CA1878!,Projet,PRIX DE LA LÉGION D'HONNEUR AUX APPRENTIS DES MÉTIERS MANUELS DE L'HÉRAULT,V2019-181,12/06/2019,220 €,En attente réception,77566640700074,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SOCIAL / EXCLUSION,1913,ASSOCIATION SAINT VINCENT DE PAUL-LOUISE DE MARILLAC _ CONSEIL DEPARTEMENTAL DE L'HERAULT CA1913!,Fonctionnement,,V2019-199,12/06/2019,500 €,En attente réception,77606054300027,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
